signal	command	start_utc	end_utc	exit_code	log_path
G5-001	test -f docs/runbooks/soak-test.md && test -f docs/runbooks/perf-baseline.md	2026-02-15T18:20:28Z	2026-02-15T18:20:28Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/perf/command-logs/20260215T182028Z_runbook_presence.log
G5-001	cargo bench -p arco-catalog --bench catalog_lookup --no-run	2026-02-15T18:20:28Z	2026-02-15T18:21:34Z	101	release_evidence/2026-02-12-prod-readiness/gate-5/perf/command-logs/20260215T182028Z_bench_catalog_lookup_no_run.log
G5-001	cargo bench -p arco-catalog --bench catalog_lookup --no-run	2026-02-15T18:22:17Z	2026-02-15T18:22:18Z	101	release_evidence/2026-02-12-prod-readiness/gate-5/perf/command-logs/20260215T182217Z_bench_catalog_lookup_no_run_repro.log
G5-001	missing=0; for t in k6 vegeta locust; do if command -v "$t" >/dev/null 2>&1; then echo "$t:present"; else echo "$t:missing"; missing=1; fi; done; exit $missing	2026-02-15T18:22:18Z	2026-02-15T18:22:18Z	1	release_evidence/2026-02-12-prod-readiness/gate-5/perf/command-logs/20260215T182218Z_load_tooling_preflight.log
G5-001	cargo bench -p arco-catalog --bench catalog_lookup --no-run	2026-02-15T18:22:28Z	2026-02-15T18:22:28Z	101	release_evidence/2026-02-12-prod-readiness/gate-5/perf/command-logs/20260215T182228Z_bench_catalog_lookup_no_run_repro.log
G5-001	missing=0; for t in k6 vegeta locust; do if command -v "$t" >/dev/null 2>&1; then echo "$t:present"; else echo "$t:missing"; missing=1; fi; done; exit $missing	2026-02-15T18:22:28Z	2026-02-15T18:22:28Z	1	release_evidence/2026-02-12-prod-readiness/gate-5/perf/command-logs/20260215T182228Z_load_tooling_preflight.log
G5-001	cargo bench -p arco-catalog --bench catalog_lookup --no-run	2026-02-15T19:22:59Z	2026-02-15T19:23:01Z	101	release_evidence/2026-02-12-prod-readiness/gate-5/perf/command-logs/20260215T192259Z_bench_catalog_lookup_no_run_current.log
G5-001	cargo bench -p arco-catalog --bench catalog_lookup --no-run	2026-02-15T19:23:46Z	2026-02-15T19:24:17Z	0	release_evidence/2026-02-12-prod-readiness/gate-5/perf/command-logs/20260215T192346Z_bench_catalog_lookup_no_run_post_fix.log
G5-001	missing=0; for t in k6 vegeta locust; do if command -v "$t" >/dev/null 2>&1; then echo "$t:present"; else echo "$t:missing"; missing=1; fi; done; exit $missing	2026-02-15T19:24:17Z	2026-02-15T19:24:17Z	1	release_evidence/2026-02-12-prod-readiness/gate-5/perf/command-logs/20260215T192417Z_load_tooling_preflight_post_fix.log
