command	exit_code	start_utc	end_utc	cmd
fmt_check	0	2026-02-12T05:36:46Z	2026-02-12T05:36:47Z	cargo fmt --all --check
clippy_workspace	0	2026-02-12T05:36:47Z	2026-02-12T05:36:48Z	cargo clippy --workspace --all-features -- -D warnings
test_workspace_excl_flow_api	0	2026-02-12T05:36:48Z	2026-02-12T05:37:34Z	cargo test --workspace --all-features --exclude arco-flow --exclude arco-api
test_arco_flow_default	0	2026-02-12T05:37:34Z	2026-02-12T05:37:46Z	cargo test -p arco-flow --tests
test_arco_flow_test_utils	0	2026-02-12T05:37:46Z	2026-02-12T05:37:58Z	cargo test -p arco-flow --features test-utils --tests
test_arco_flow_all_features	0	2026-02-12T05:37:58Z	2026-02-12T05:38:15Z	cargo test -p arco-flow --all-features --tests
test_arco_api_all_features	0	2026-02-12T05:38:15Z	2026-02-12T05:38:18Z	cargo test -p arco-api --all-features --tests
test_docs_workspace	0	2026-02-12T05:38:18Z	2026-02-12T05:38:40Z	cargo test --doc --workspace
cargo_deny_all	0	2026-02-12T05:38:40Z	2026-02-12T05:38:42Z	cargo deny check bans licenses sources advisories
buf_lint_proto	0	2026-02-12T05:38:42Z	2026-02-12T05:38:42Z	buf lint proto/
buf_breaking_proto	0	2026-02-12T05:38:42Z	2026-02-12T05:38:43Z	buf breaking proto/ --against '.git#branch=main,subdir=proto'
